"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"27",4.20833448443754e-95,0.995922697651793,0.553,0.313,5.92785995477872e-91,"2","ZFP36L2"
"28",5.9029497553612e-68,0.974032518728376,0.491,0.294,8.31489502540179e-64,"2","RGCC"
"29",1.23449172683264e-41,0.944289727991004,0.268,0.138,1.73890504641646e-37,"2","ARL4C"
"30",6.53632786526772e-74,0.885217398102416,0.407,0.198,9.2070714310161e-70,"2","EZR"
"31",3.36802949931266e-179,0.845235798243116,0.91,0.712,4.74420635273182e-175,"2","PABPC1"
"32",1.45116182570257e-35,0.812120620261058,0.302,0.174,2.04410654768464e-31,"2","ARHGDIB"
"33",2.8443706626081e-66,0.773473155029591,0.557,0.344,4.00658051534977e-62,"2","IL7R"
"34",3.84699972249675e-36,0.770445586006373,0.338,0.203,5.41888380910892e-32,"2","SPOCK2"
"35",6.85848151066255e-32,0.764481395355057,0.272,0.155,9.66085705591927e-28,"2","SYNE2"
"36",1.84557330328499e-164,0.691701077832247,0.761,0.447,2.59967455500724e-160,"2","FTH1"
"37",6.22672995607106e-27,0.677761429742854,0.307,0.194,8.7709718161217e-23,"2","SRSF7"
"38",1.22176702668009e-20,0.668831745304565,0.271,0.177,1.72098103378158e-16,"2","CHD1"
"39",9.04388221885932e-34,0.667717628845992,0.517,0.383,1.27392124934852e-29,"2","JUN"
"40",2.44505413977344e-28,0.665504582695556,0.375,0.252,3.44410326128486e-24,"2","ANKRD12"
"41",0,5.74324523549529,0.716,0.027,0,"3","GNLY"
"42",0,5.62741789534785,0.406,0.01,0,"3","FGFBP2"
"43",0,5.01071418462087,0.615,0.025,0,"3","NKG7"
"44",8.00222185267766e-195,2.98195546347516,0.266,0.035,1.12719297016817e-190,"3","SYNE1"
"45",0,2.49960241689842,0.662,0.148,0,"3","RUNX3"
"46",1.90656301588044e-178,2.01439968746108,0.461,0.133,2.68558466416919e-174,"3","SYNE2"
"47",4.97634997894459e-76,1.71102689126779,0.251,0.08,7.00968658034134e-72,"3","SMAD7"
"48",1.7166699948132e-165,1.52666609587525,0.642,0.29,2.41810135469388e-161,"3","HLA-C.4"
"49",1.9460805319636e-79,1.42488611543689,0.37,0.152,2.74124903732393e-75,"3","PFN1"
"50",9.35006679079766e-78,1.41879396036696,0.36,0.147,1.31705040815176e-73,"3","PPP2R5C"
"51",2.68820533735764e-80,1.39379680192585,0.371,0.151,3.78660603820198e-76,"3","ARPC2"
"52",4.852676660205e-58,1.34903300813262,0.282,0.114,6.83548034356476e-54,"3","WIPF1"
"53",8.0537404997472e-55,1.33138612353781,0.287,0.122,1.13444988679439e-50,"3","PTP4A2"
"54",3.52524763551733e-60,1.31375694737023,0.324,0.141,4.96566381938972e-56,"3","ARL4C"
"55",5.86674721338547e-52,1.3136732503189,0.285,0.124,8.26390012477477e-48,"3","AHNAK"
"56",8.796343338522e-77,1.26273716903994,0.395,0.17,1.23905292266421e-72,"3","FYN"
"57",1.84795154891077e-46,1.21652807646934,0.279,0.126,2.60302455179572e-42,"3","UTRN"
"58",7.04995891259291e-41,1.14342302367074,0.263,0.121,9.93057212427837e-37,"3","LCP1"
"59",6.17062376252658e-51,1.138083017633,0.358,0.178,8.69194063189495e-47,"3","PIK3R1"
"60",3.92158759558809e-85,1.11249503947533,0.558,0.295,5.52394828714538e-81,"3","B2M"
"61",0,6.94275944385202,0.278,0.002,0,"4","CD79A"
"62",0,6.06646989031151,0.441,0.008,0,"4","BANK1"
"63",0,5.56034336614237,0.27,0.009,0,"4","IGKC"
"64",0,5.46074324484443,0.373,0.01,0,"4","MS4A1"
"65",0,3.97673203805622,0.999,0.197,0,"4","CD74"
"66",0,3.62983616222587,0.586,0.05,0,"4","HLA-DPB1.2"
"67",0,3.2621508976325,0.531,0.069,0,"4","CD83"
"68",3.02614800857678e-309,3.2530727820078,0.432,0.048,4.26263208488125e-305,"4","LYN"
"69",3.00895969089572e-177,3.06040637372955,0.286,0.037,4.23842062059571e-173,"4","CD37"
"70",6.16756171911988e-207,3.05405308827911,0.346,0.048,8.68762743755226e-203,"4","RCSD1"
"71",0,2.63459804735432,0.797,0.189,0,"4","EZR"
"72",7.05200059604491e-157,2.03293843537192,0.527,0.154,9.93344803958886e-153,"4","LAPTM5"
"73",3.24342933479769e-101,1.94590016398811,0.38,0.113,4.56869456099602e-97,"4","BIRC3"
"74",1.07188441248345e-50,1.56738449422621,0.279,0.102,1.50985638342419e-46,"4","SP100"
"75",1.3333742942069e-87,1.52248098421565,0.483,0.19,1.87819103081984e-83,"4","SMAP2"
"76",1.62320057279127e-35,1.13871660857928,0.359,0.182,2.28644032683378e-31,"4","NR4A1"
"77",6.71940716474075e-49,1.03536799941331,0.531,0.293,9.46495693225382e-45,"4","IER5"
"78",7.16661214977723e-26,1.02424546096817,0.271,0.134,1.00948898741762e-21,"4","CD52"
"79",1.93845118144913e-24,1.00898555409256,0.312,0.171,2.73050233418925e-20,"4","CD69"
"80",1.19011175098573e-17,0.904048780960055,0.31,0.191,1.6763914124385e-13,"4","TMEM123"
"81",1.72457568153128e-69,4.51620021789503,0.331,0.127,2.42923730500496e-65,"5","HBB"
"82",3.40838636578046e-36,2.01500816095554,0.259,0.111,4.80105303483835e-32,"5","NEAT1"
"83",1.61231643301223e-155,1.62479620775131,0.943,0.807,2.27110892754103e-151,"5","MALAT1"
"84",4.59794135694409e-105,1.38245587716804,0.854,0.665,6.47666019539145e-101,"5","TALAM1"
"85",0.000542133794904372,0.710190699071805,0.292,0.255,1,"5","HSPH1"
"86",1.77015932419044e-08,0.572498346275814,0.559,0.523,0.000249344642405465,"5","MT-RNR1"
"87",0,7.84164524343671,0.688,0.003,0,"6","FCN1"
"88",0,7.81725944137264,0.903,0.012,0,"6","VCAN"
"89",0,7.50713817066472,0.776,0.006,0,"6","ENSG00000257764"
"90",0,7.26187627138438,0.748,0.008,0,"6","C5AR1"
"91",0,7.24229360770401,0.314,0.002,0,"6","TGFBI"
"92",0,7.24066252212508,0.266,0.002,0,"6","CD36"
"93",0,7.01101428478583,0.345,0.003,0,"6","CPVL"
"94",0,6.88442762020746,0.993,0.064,0,"6","LYZ"
"95",0,6.82738548071067,0.281,0.003,0,"6","RAB31"
"96",0,6.72914876735635,0.345,0.005,0,"6","EREG"
"97",0,6.68389691323457,0.52,0.007,0,"6","PLAUR"
"98",0,6.67778134098645,0.624,0.016,0,"6","CXCL8"
"99",0,6.53868063917558,0.681,0.011,0,"6","S100A8"
"100",0,6.45971343637214,0.396,0.004,0,"6","NCF2"
"101",0,6.4471133995925,0.491,0.01,0,"6","IL1B"
"102",0,6.36837672898758,0.712,0.011,0,"6","CYBB"
"103",0,6.32846890309388,0.485,0.009,0,"6","G0S2"
"104",0,6.17581137777511,0.27,0.004,0,"6","S100A9"
"105",0,6.12291513108031,0.392,0.006,0,"6","MAFB"
"106",0,5.93487846883195,0.958,0.047,0,"6","CTSS"
